transaction_id,purchase_date,transaction_status,customer_id,customer_name,customer_email,customer_country,customer_city,customer_phone,customer_birthday,customer_address,product_id,product_name,product_category,product_price,quantity_purchased,currency,shipping_address,shipping_city,shipping_country
8076575,2024-04-21T00:00:00,Shipped,15641,Рябова Наталья Артемовна,efim_49@example.org,Georgia,Kutaisi,8 351 108 73 17,1976-12-03,"ст. Кашхатау, алл. Гвардейская, д. 77 стр. 9, 197296",4663,Book B,Books,5.49,8,USD,"ст. Кашхатау, алл. Гвардейская, д. 77 стр. 9, 197296",Kutaisi,Georgia
5019083,2024-03-08T00:00:00,Shipped,48883,Родионова Регина Святославовна,sigizmund_73@example.net,Belarus,Vitebsk,83055508249,1994-04-21,"клх Советский, ш. Промышленное, д. 313, 407522",1631,Microwave,Kitchen,25.0,7,USD,"клх Советский, ш. Промышленное, д. 313, 407522",Vitebsk,Belarus
7171008,2024-07-04T00:00:00,Pending,9199,Оксана Максимовна Селезнева,hsharapova@example.net,Kazakhstan,Almaty,+7 918 916 3489,1977-10-26,"д. Черский, ш. Южное, д. 924, 517446",7489,Washing Machine,Home Appliance,100.0,3,USD,"д. Черский, ш. Южное, д. 924, 517446",Almaty,Kazakhstan
8616064,2024-09-28T00:00:00,Pending,48605,Нестор Ануфриевич Сорокин,zhuravlevkonon@example.net,Kyrgyzstan,Osh,8 007 627 9125,1977-07-08,"с. Барнаул, пр. Деповский, д. 309, 185367",794,Microwave,Kitchen,25.0,7,USD,"с. Барнаул, пр. Деповский, д. 309, 185367",Osh,Kyrgyzstan
2343248,2024-06-14T00:00:00,Shipped,36440,Семенов Юлиан Фролович,antonina_19@example.com,Kyrgyzstan,Jalal-Abad,+7 (641) 830-67-53,1979-07-07,"г. Ступино, ул. Полтавская, д. 91 к. 9/5, 269611",8498,Washing Machine,Home Appliance,100.0,8,USD,"г. Ступино, ул. Полтавская, д. 91 к. 9/5, 269611",Jalal-Abad,Kyrgyzstan
2691898,2024-01-24T00:00:00,Shipped,6686,Валерьян Фёдорович Носов,gurevamvrosi@example.com,Georgia,Kutaisi,8 607 541 51 15,1990-02-23,"п. Александров, ш. Нефтяников, д. 492, 310450",2318,T-shirt,Clothing,8.5,8,USD,"п. Александров, ш. Нефтяников, д. 492, 310450",Kutaisi,Georgia
1744390,2024-05-18T00:00:00,Delivered,23792,Елизавета Вениаминовна Герасимова,veniamin1996@example.net,Belarus,Mogilev,+72035574485,1967-04-19,"д. Челябинск, алл. Достоевского, д. 42 к. 9, 324560",2990,Washing Machine,Home Appliance,100.0,10,USD,"д. Челябинск, алл. Достоевского, д. 42 к. 9, 324560",Mogilev,Belarus
3653280,2024-09-24T00:00:00,Delivered,15670,Фёкла Архиповна Карпова,filatovafanasi@example.org,Georgia,Kutaisi,8 486 296 45 13,1979-01-12,"с. Поронайск, пр. Ломоносова, д. 4/6, 712141",6934,Book A,Books,4.99,8,USD,"с. Поронайск, пр. Ломоносова, д. 4/6, 712141",Kutaisi,Georgia
6124873,2024-04-08T00:00:00,Delivered,38174,Пахомова Виктория Петровна,xfomin@example.com,Georgia,Kutaisi,8 237 582 57 17,1992-12-28,"ст. Северодвинск, пр. Набережный, д. 24 стр. 9, 671738",1843,T-shirt,Clothing,8.5,10,USD,"ст. Северодвинск, пр. Набережный, д. 24 стр. 9, 671738",Kutaisi,Georgia
5071908,2024-06-25T00:00:00,Delivered,10690,Ирина Архиповна Ковалева,glafira00@example.com,Kyrgyzstan,Karakol,8 896 714 54 39,1962-11-08,"к. Тында, ул. Ленская, д. 71 к. 5, 983816",4204,Book A,Books,4.99,5,USD,"к. Тында, ул. Ленская, д. 71 к. 5, 983816",Karakol,Kyrgyzstan
7835917,2024-02-16T00:00:00,Pending,37951,София Ниловна Гришина,kuzma75@example.net,Uzbekistan,Bukhara,+7 (211) 669-72-84,1974-12-13,"п. Сосновый Бор, бул. О.Кошевого, д. 8 к. 374, 093057",4953,T-shirt,Clothing,8.5,6,USD,"п. Сосновый Бор, бул. О.Кошевого, д. 8 к. 374, 093057",Bukhara,Uzbekistan
2982996,2024-05-19T00:00:00,Shipped,19471,Автоном Арсеньевич Зимин,ziminnikola@example.org,Kyrgyzstan,Karakol,8 019 044 3294,1967-08-15,"клх Набережные Челны, алл. Тургенева, д. 7/3 к. 3/9, 232756",5923,Washing Machine,Home Appliance,100.0,9,USD,"клх Набережные Челны, алл. Тургенева, д. 7/3 к. 3/9, 232756",Karakol,Kyrgyzstan
5520072,2024-01-24T00:00:00,Delivered,7127,Селиверст Терентьевич Артемьев,evsebikov@example.org,Kazakhstan,Aktobe,80603125023,1986-07-02,"ст. Новая Игирма, пр. Трактовый, д. 8/8 к. 8, 540002",9089,T-shirt,Clothing,8.5,10,USD,"ст. Новая Игирма, пр. Трактовый, д. 8/8 к. 8, 540002",Aktobe,Kazakhstan
7734432,2024-09-27T00:00:00,Pending,381,Корнил Абрамович Кудрявцев,ustinovpahom@example.net,Georgia,Kutaisi,+7 (968) 373-5919,1998-09-29,"д. Серебряные Пруды, наб. Кооперативная, д. 235 к. 68, 344486",2781,Washing Machine,Home Appliance,100.0,2,USD,"д. Серебряные Пруды, наб. Кооперативная, д. 235 к. 68, 344486",Kutaisi,Georgia
1463834,2024-02-07T00:00:00,Shipped,23091,Мечислав Демидович Соловьев,ustin10@example.com,Belarus,Gomel,8 (706) 777-11-13,1963-06-17,"п. Сарапул, ул. Войкова, д. 1/3 стр. 47, 455618",8254,Book A,Books,4.99,1,USD,"п. Сарапул, ул. Войкова, д. 1/3 стр. 47, 455618",Gomel,Belarus
2682541,2024-10-03T00:00:00,Shipped,10990,Эмилия Тимофеевна Устинова,lavrguljaev@example.com,Kyrgyzstan,Karakol,8 (978) 443-0191,1966-10-13,"п. Лодейное Поле, бул. Лесный, д. 1/2 стр. 5/2, 384331",4634,Washing Machine,Home Appliance,100.0,4,USD,"п. Лодейное Поле, бул. Лесный, д. 1/2 стр. 5/2, 384331",Karakol,Kyrgyzstan
4352486,2024-06-09T00:00:00,Delivered,41127,Муравьева Лидия Евгеньевна,agata_74@example.net,Russia,Saint Petersburg,+7 (208) 855-90-26,1966-01-01,"п. Каргасок, пер. Горняцкий, д. 42 к. 6/3, 190895",5238,Book B,Books,5.49,9,USD,"п. Каргасок, пер. Горняцкий, д. 42 к. 6/3, 190895",Saint Petersburg,Russia
4646720,2024-07-28T00:00:00,Shipped,23692,Леонид Авдеевич Кондратьев,fedorlapin@example.org,Georgia,Kutaisi,8 (785) 142-96-35,1994-05-11,"п. Ачхой Мартан, бул. Ленский, д. 8 к. 64, 405980",1134,Washing Machine,Home Appliance,100.0,9,USD,"п. Ачхой Мартан, бул. Ленский, д. 8 к. 64, 405980",Kutaisi,Georgia
7536991,2024-05-07T00:00:00,Pending,25862,Алексеева Людмила Архиповна,agata1973@example.org,Belarus,Brest,+7 035 105 6237,1978-08-08,"п. Мыс Шмидта, ш. Глинки, д. 1/7 стр. 9, 091662",5201,T-shirt,Clothing,8.5,1,USD,"п. Мыс Шмидта, ш. Глинки, д. 1/7 стр. 9, 091662",Brest,Belarus
9102751,2024-08-13T00:00:00,Delivered,15405,Кудрявцев Януарий Якубович,fedorovmaksim@example.org,Uzbekistan,Samarkand,+7 (302) 821-69-19,1987-04-20,"к. Невинномысск, бул. Достоевского, д. 207 стр. 5, 738526",1411,Book B,Books,5.49,8,USD,"к. Невинномысск, бул. Достоевского, д. 207 стр. 5, 738526",Samarkand,Uzbekistan
3412087,2024-03-23T00:00:00,Delivered,48033,Семен Тимурович Попов,taras48@example.com,Uzbekistan,Andijan,+7 898 407 6165,1981-05-03,"клх Асино, бул. Малиновый, д. 98 к. 7, 319539",9997,Book B,Books,5.49,5,USD,"клх Асино, бул. Малиновый, д. 98 к. 7, 319539",Andijan,Uzbekistan
3832358,2024-07-11T00:00:00,Pending,44736,Лукина Людмила Валериевна,suhanovavksenti@example.net,Russia,Nizhny Novgorod,+7 925 544 5769,1978-05-31,"ст. Диксон, ул. Щербакова, д. 15 стр. 5/4, 864282",1483,Book B,Books,5.49,4,USD,"ст. Диксон, ул. Щербакова, д. 15 стр. 5/4, 864282",Nizhny Novgorod,Russia
2467184,2024-11-13T00:00:00,Delivered,16835,Кабанов Глеб Брониславович,akulina_2013@example.net,Kazakhstan,Almaty,8 644 406 44 88,1983-12-21,"клх Рыльск, ш. Лесное, д. 79, 708693",7160,Book A,Books,4.99,8,USD,"клх Рыльск, ш. Лесное, д. 79, 708693",Almaty,Kazakhstan
4395226,2024-12-01T00:00:00,Pending,9024,Майя Станиславовна Субботина,fedoseevevlampi@example.net,Belarus,Brest,8 703 934 2619,1979-03-09,"п. Забайкальск, ул. Кузнецова, д. 5/5 к. 6/6, 407043",5290,Washing Machine,Home Appliance,100.0,4,USD,"п. Забайкальск, ул. Кузнецова, д. 5/5 к. 6/6, 407043",Brest,Belarus
6241863,2024-05-23T00:00:00,Shipped,46882,Мария Оскаровна Носова,caksenova@example.net,Uzbekistan,Andijan,8 (592) 945-06-78,1965-02-08,"к. Адлер, алл. Заозерная, д. 1/6, 562462",1172,Microwave,Kitchen,25.0,7,USD,"к. Адлер, алл. Заозерная, д. 1/6, 562462",Andijan,Uzbekistan
9577894,2024-10-14T00:00:00,Shipped,19152,Маслова Ксения Степановна,sorokinavasilisa@example.org,Belarus,Gomel,8 (080) 862-59-11,1984-03-16,"ст. Кудымкар, бул. Прудный, д. 9 к. 3/8, 092805",9065,Washing Machine,Home Appliance,100.0,3,USD,"ст. Кудымкар, бул. Прудный, д. 9 к. 3/8, 092805",Gomel,Belarus
9417132,2024-04-13T00:00:00,Delivered,33364,Анжела Георгиевна Юдина,julian1983@example.com,Uzbekistan,Tashkent,8 (252) 780-8185,1959-02-16,"с. Шилка, пер. Микрорайон, д. 7 к. 2, 502205",2775,Microwave,Kitchen,25.0,3,USD,"с. Шилка, пер. Микрорайон, д. 7 к. 2, 502205",Tashkent,Uzbekistan
7124293,2024-02-14T00:00:00,Delivered,2765,Евдокия Аскольдовна Тихонова,ignatovaksenija@example.com,Uzbekistan,Tashkent,+7 925 160 7599,1993-01-21,"с. Иркутск, пр. Путевой, д. 26, 110502",1083,Book B,Books,5.49,2,USD,"с. Иркутск, пр. Путевой, д. 26, 110502",Tashkent,Uzbekistan
4907046,2024-01-14T00:00:00,Pending,41008,Агап Захарьевич Панов,olimpiada_2017@example.com,Kazakhstan,Almaty,8 (108) 640-81-15,1975-02-25,"г. Елатьма, бул. Лунный, д. 606 стр. 38, 223950",957,Book B,Books,5.49,2,USD,"г. Елатьма, бул. Лунный, д. 606 стр. 38, 223950",Almaty,Kazakhstan
8283816,2024-03-21T00:00:00,Delivered,46773,Ярослав Тихонович Соловьев,ilarionkalashnikov@example.com,Uzbekistan,Andijan,8 235 326 7592,1976-05-29,"д. Адыгейск, пр. Коллективный, д. 10 стр. 9, 001992",3165,Microwave,Kitchen,25.0,1,USD,"д. Адыгейск, пр. Коллективный, д. 10 стр. 9, 001992",Andijan,Uzbekistan
2405114,2024-09-04T00:00:00,Shipped,42177,Марина Алексеевна Гаврилова,rjakovleva@example.com,Kyrgyzstan,Karakol,+7 (258) 386-1269,1988-08-28,"с. Кострома, пр. Хвойный, д. 4/8 к. 2/5, 858099",8970,Washing Machine,Home Appliance,100.0,5,USD,"с. Кострома, пр. Хвойный, д. 4/8 к. 2/5, 858099",Karakol,Kyrgyzstan
5655336,2024-08-20T00:00:00,Delivered,16557,Жанна Игоревна Волкова,nikifor_18@example.org,Kazakhstan,Almaty,+7 (606) 661-79-72,1966-08-25,"п. Чита, ш. Толбухина, д. 355 к. 8, 342954",8914,Microwave,Kitchen,25.0,10,USD,"п. Чита, ш. Толбухина, д. 355 к. 8, 342954",Almaty,Kazakhstan
3916478,2024-07-21T00:00:00,Shipped,24497,Андроник Ермолаевич Жданов,rvinogradov@example.com,Kyrgyzstan,Jalal-Abad,+76352219520,1978-05-23,"г. Буйнакск, пер. Придорожный, д. 42 к. 13, 759451",8249,T-shirt,Clothing,8.5,2,USD,"г. Буйнакск, пер. Придорожный, д. 42 к. 13, 759451",Jalal-Abad,Kyrgyzstan
3752460,2024-02-18T00:00:00,Delivered,32535,Надежда Захаровна Мясникова,aleksandrovsidor@example.com,Georgia,Tbilisi,8 (268) 436-5678,1972-10-17,"ст. Внуково (метеост.), алл. Тенистая, д. 999 стр. 939, 492610",8865,T-shirt,Clothing,8.5,3,USD,"ст. Внуково (метеост.), алл. Тенистая, д. 999 стр. 939, 492610",Tbilisi,Georgia
1781308,2024-11-23T00:00:00,Delivered,16978,Рожков Митофан Харлампьевич,velimir_75@example.net,Georgia,Batumi,+77328818202,1998-07-22,"с. Пинега, ул. Элеваторная, д. 3/8 к. 761, 387079",3344,Book B,Books,5.49,9,USD,"с. Пинега, ул. Элеваторная, д. 3/8 к. 761, 387079",Batumi,Georgia
4292781,2024-09-27T00:00:00,Delivered,4362,Щукин Сильвестр Эдгардович,anzhela_1991@example.com,Kyrgyzstan,Tokmok,+7 (385) 249-27-11,1980-07-13,"к. Старая Русса, ш. Заозерное, д. 3, 120298",5716,Washing Machine,Home Appliance,100.0,9,USD,"к. Старая Русса, ш. Заозерное, д. 3, 120298",Tokmok,Kyrgyzstan
5486321,2024-10-20T00:00:00,Shipped,16339,Морозов Онуфрий Эдгардович,teterinsavvati@example.net,Russia,Nizhny Novgorod,8 510 337 4430,1981-04-27,"г. Мезень, пр. Космический, д. 7 стр. 53, 754692",4607,Microwave,Kitchen,25.0,7,USD,"г. Мезень, пр. Космический, д. 7 стр. 53, 754692",Nizhny Novgorod,Russia
1171548,2024-11-15T00:00:00,Shipped,44970,Варвара Ниловна Казакова,savva_1982@example.net,Uzbekistan,Tashkent,8 564 564 1741,1979-02-01,"клх Казань, пр. Курганный, д. 866 к. 4/7, 735801",4438,T-shirt,Clothing,8.5,4,USD,"клх Казань, пр. Курганный, д. 866 к. 4/7, 735801",Tashkent,Uzbekistan
8330398,2024-10-17T00:00:00,Shipped,23414,Никодим Давыдович Бирюков,kbelov@example.org,Kyrgyzstan,Osh,8 143 521 25 03,2001-11-23,"д. Адлер, ул. Крымская, д. 173, 182336",9934,Washing Machine,Home Appliance,100.0,6,USD,"д. Адлер, ул. Крымская, д. 173, 182336",Osh,Kyrgyzstan
9813621,2024-11-17T00:00:00,Shipped,48960,Август Феодосьевич Никитин,wturova@example.org,Kazakhstan,Aktobe,84095557298,1963-02-27,"к. Апшеронск, алл. Геологическая, д. 4/6 стр. 96, 817187",8133,Microwave,Kitchen,25.0,9,USD,"к. Апшеронск, алл. Геологическая, д. 4/6 стр. 96, 817187",Aktobe,Kazakhstan
1026172,2024-06-24T00:00:00,Pending,43365,Радован Игоревич Гусев,ypanfilov@example.org,Kyrgyzstan,Karakol,88537357607,1991-07-28,"ст. Светлогорск (Калин.), пр. Слободской, д. 8, 237457",4320,Washing Machine,Home Appliance,100.0,9,USD,"ст. Светлогорск (Калин.), пр. Слободской, д. 8, 237457",Karakol,Kyrgyzstan
8292850,2024-09-24T00:00:00,Shipped,3288,Гущина Виктория Семеновна,ponomarevladimir@example.net,Russia,Saint Petersburg,+7 025 059 27 63,1977-07-13,"с. Барнаул, ш. Енисейское, д. 3 к. 3/8, 970379",2574,Washing Machine,Home Appliance,100.0,2,USD,"с. Барнаул, ш. Енисейское, д. 3 к. 3/8, 970379",Saint Petersburg,Russia
1932743,2024-12-22T00:00:00,Delivered,42533,Тамара Геннадьевна Смирнова,semenovavera@example.org,Kyrgyzstan,Karakol,8 (931) 864-57-32,1975-10-14,"с. Санкт-Петербург, наб. Семашко, д. 223 стр. 86, 500631",6522,Washing Machine,Home Appliance,100.0,3,USD,"с. Санкт-Петербург, наб. Семашко, д. 223 стр. 86, 500631",Karakol,Kyrgyzstan
5799236,2024-09-08T00:00:00,Delivered,18631,Фаина Феликсовна Уварова,norlova@example.net,Kyrgyzstan,Karakol,+7 287 468 8119,2002-09-01,"п. Пятигорск, ш. Терешковой, д. 2 стр. 139, 274197",9294,T-shirt,Clothing,8.5,5,USD,"п. Пятигорск, ш. Терешковой, д. 2 стр. 139, 274197",Karakol,Kyrgyzstan
7977945,2024-08-23T00:00:00,Shipped,14950,Ефим Тарасович Блинов,martjan_1982@example.net,Georgia,Tbilisi,+71025997187,1978-07-30,"г. Рязань, бул. Запрудный, д. 20 стр. 4/1, 461545",7118,Microwave,Kitchen,25.0,3,USD,"г. Рязань, бул. Запрудный, д. 20 стр. 4/1, 461545",Tbilisi,Georgia
8036922,2024-01-17T00:00:00,Pending,34264,Кабанова Евдокия Тимофеевна,aristarh_1988@example.net,Kazakhstan,Karaganda,+7 270 452 5198,1977-10-23,"д. Воркута, ул. Раздольная, д. 1/9 стр. 25, 236397",2663,Book B,Books,5.49,7,USD,"д. Воркута, ул. Раздольная, д. 1/9 стр. 25, 236397",Karaganda,Kazakhstan
5696407,2024-10-15T00:00:00,Delivered,39099,Карп Иларионович Туров,evstigne_1981@example.com,Georgia,Batumi,+7 (480) 154-50-19,1959-08-27,"клх Кырен, пер. Новоселов, д. 2/7, 119752",8234,T-shirt,Clothing,8.5,9,USD,"клх Кырен, пер. Новоселов, д. 2/7, 119752",Batumi,Georgia
9672476,2024-03-14T00:00:00,Delivered,47825,Поликарп Ермилович Морозов,shchukinaagafja@example.net,Uzbekistan,Bukhara,+71558403824,1985-11-20,"к. Череповец, наб. Комарова, д. 8/2, 528037",6785,Book B,Books,5.49,8,USD,"к. Череповец, наб. Комарова, д. 8/2, 528037",Bukhara,Uzbekistan
4583771,2024-03-13T00:00:00,Pending,30144,Изяслав Артурович Тимофеев,sharapovdobromisl@example.org,Kyrgyzstan,Jalal-Abad,8 (058) 618-37-44,1977-03-16,"п. Троицко-Печорск, алл. Ленская, д. 53 к. 92, 802362",8507,Book A,Books,4.99,1,USD,"п. Троицко-Печорск, алл. Ленская, д. 53 к. 92, 802362",Jalal-Abad,Kyrgyzstan
4008264,2024-07-05T00:00:00,Delivered,14252,Шилов Владимир Власович,stanislavnosov@example.com,Belarus,Mogilev,+7 730 626 8636,1983-01-04,"п. Верхнее Пенжино, ул. Широкая, д. 836 стр. 7, 641293",1538,Book A,Books,4.99,7,USD,"п. Верхнее Пенжино, ул. Широкая, д. 836 стр. 7, 641293",Mogilev,Belarus
8184919,2024-03-24T00:00:00,Delivered,24348,Гордеева Алина Альбертовна,artem_2008@example.org,Russia,Novosibirsk,8 (298) 409-25-55,1996-05-08,"п. Апрелевка, ш. Крымское, д. 6/8 к. 8, 745596",4846,Microwave,Kitchen,25.0,2,USD,"п. Апрелевка, ш. Крымское, д. 6/8 к. 8, 745596",Novosibirsk,Russia
3391548,2024-03-13T00:00:00,Delivered,11654,Олег Юлианович Петухов,evgenigorbunov@example.org,Kazakhstan,Aktobe,+78282988875,1970-09-02,"клх Тулпан, ш. Каштановое, д. 8, 039140",585,Book A,Books,4.99,7,USD,"клх Тулпан, ш. Каштановое, д. 8, 039140",Aktobe,Kazakhstan
4958906,2024-08-16T00:00:00,Delivered,14586,Екатерина Геннадиевна Орехова,burovmiroslav@example.net,Kazakhstan,Aktobe,+70009243675,1997-08-21,"ст. Гатчина, ул. Коллективная, д. 598 стр. 4, 352272",939,Microwave,Kitchen,25.0,4,USD,"ст. Гатчина, ул. Коллективная, д. 598 стр. 4, 352272",Aktobe,Kazakhstan
3045311,2024-11-03T00:00:00,Delivered,45373,Селезнева Надежда Эдуардовна,avdezatsev@example.com,Belarus,Vitebsk,80281645930,1974-04-11,"клх Кызыл, пр. Тургенева, д. 2 к. 3/2, 869762",9521,Microwave,Kitchen,25.0,5,USD,"клх Кызыл, пр. Тургенева, д. 2 к. 3/2, 869762",Vitebsk,Belarus
7246273,2024-09-28T00:00:00,Pending,32264,Гаврилова Василиса Вадимовна,djachkovdorofe@example.net,Kazakhstan,Karaganda,8 (416) 441-58-81,1959-05-19,"г. Подольск, ш. Мусы Джалиля, д. 252 к. 4/1, 600962",1213,Book A,Books,4.99,10,USD,"г. Подольск, ш. Мусы Джалиля, д. 252 к. 4/1, 600962",Karaganda,Kazakhstan
6226029,2024-07-17T00:00:00,Shipped,7190,Крюкова Клавдия Наумовна,ikonstantinova@example.org,Uzbekistan,Andijan,8 (828) 239-21-97,1971-12-20,"с. Алдан, ш. Больничное, д. 304 стр. 38, 505259",1980,Microwave,Kitchen,25.0,8,USD,"с. Алдан, ш. Больничное, д. 304 стр. 38, 505259",Andijan,Uzbekistan
4487642,2024-09-25T00:00:00,Pending,40906,Анна Максимовна Никитина,radim57@example.com,Uzbekistan,Tashkent,8 (811) 576-6878,1978-03-07,"п. Петропавловск-Камчатский, наб. Тенистая, д. 122 стр. 2/2, 945769",7125,T-shirt,Clothing,8.5,9,USD,"п. Петропавловск-Камчатский, наб. Тенистая, д. 122 стр. 2/2, 945769",Tashkent,Uzbekistan
1298130,2024-01-10T00:00:00,Shipped,11754,Юлия Рубеновна Копылова,ignati_80@example.net,Belarus,Gomel,8 558 039 17 15,1978-08-08,"д. Терскол, ул. Гайдара, д. 652, 776037",2165,Microwave,Kitchen,25.0,3,USD,"д. Терскол, ул. Гайдара, д. 652, 776037",Gomel,Belarus
8261422,2024-12-18T00:00:00,Shipped,11096,Белозерова Любовь Валериевна,mishinaolga@example.net,Kyrgyzstan,Bishkek,+7 (649) 730-79-92,1986-07-15,"с. Хасан, алл. Карла Либкнехта, д. 4/6 стр. 5/4, 438957",6278,Book B,Books,5.49,8,USD,"с. Хасан, алл. Карла Либкнехта, д. 4/6 стр. 5/4, 438957",Bishkek,Kyrgyzstan
4629021,2024-12-07T00:00:00,Delivered,49520,Ширяев Ярополк Виленович,ilja_24@example.net,Uzbekistan,Tashkent,+7 (891) 773-29-59,1970-03-23,"п. Магадан, наб. Проезжая, д. 7 к. 1, 339287",5177,Washing Machine,Home Appliance,100.0,4,USD,"п. Магадан, наб. Проезжая, д. 7 к. 1, 339287",Tashkent,Uzbekistan
4934008,2024-04-06T00:00:00,Delivered,34854,Овчинников Константин Чеславович,ukulagina@example.net,Kazakhstan,Astana,8 010 524 98 74,1983-09-04,"к. Кетченеры, ул. Тихая, д. 980 стр. 2, 001419",7073,Microwave,Kitchen,25.0,10,USD,"к. Кетченеры, ул. Тихая, д. 980 стр. 2, 001419",Astana,Kazakhstan
8105968,2024-04-23T00:00:00,Shipped,27147,Василиса Филипповна Фокина,evstafi_1985@example.org,Uzbekistan,Andijan,+7 (932) 234-74-29,1971-03-24,"ст. Плесецк, алл. Северная, д. 9, 241949",7309,Book B,Books,5.49,8,USD,"ст. Плесецк, алл. Северная, д. 9, 241949",Andijan,Uzbekistan
1417016,2024-05-10T00:00:00,Shipped,38459,Иванова Вероника Григорьевна,gavrilovavasilisa@example.org,Kyrgyzstan,Karakol,8 (808) 532-75-73,2001-05-06,"г. Нижнеудинск, наб. К.Маркса, д. 4 к. 9, 126191",2419,Washing Machine,Home Appliance,100.0,9,USD,"г. Нижнеудинск, наб. К.Маркса, д. 4 к. 9, 126191",Karakol,Kyrgyzstan
7465748,2024-07-14T00:00:00,Shipped,28921,Кудрявцева Оксана Вениаминовна,ugalkin@example.net,Georgia,Zugdidi,+7 (214) 756-8056,1992-02-13,"ст. Урай, алл. Строительная, д. 8 стр. 4/8, 611861",9680,T-shirt,Clothing,8.5,9,USD,"ст. Урай, алл. Строительная, д. 8 стр. 4/8, 611861",Zugdidi,Georgia
1079618,2024-11-13T00:00:00,Pending,36902,Абрамова Глафира Антоновна,igorzhuravlev@example.org,Kazakhstan,Karaganda,86618383371,1967-08-19,"д. Каменномостский, пер. Автомобилистов, д. 5/8 стр. 455, 373830",9388,Microwave,Kitchen,25.0,4,USD,"д. Каменномостский, пер. Автомобилистов, д. 5/8 стр. 455, 373830",Karaganda,Kazakhstan
